trade_date,trade_month,interest_rate
18-Dec-19,12,0.75
19-Dec-19,12,0.75
20-Dec-19,12,0.75
23-Dec-19,12,0.75
24-Dec-19,12,0.75
27-Dec-19,12,0.75
30-Dec-19,12,0.75
31-Dec-19,12,0.75
2-Jan-20,1,0.75
3-Jan-20,1,0.75
6-Jan-20,1,0.75
7-Jan-20,1,0.75
8-Jan-20,1,0.75
9-Jan-20,1,0.75
10-Jan-20,1,0.75
13-Jan-20,1,0.75
14-Jan-20,1,0.75
15-Jan-20,1,0.75
16-Jan-20,1,0.75
17-Jan-20,1,0.75
20-Jan-20,1,0.75
21-Jan-20,1,0.75
22-Jan-20,1,0.75
23-Jan-20,1,0.75
24-Jan-20,1,0.75
28-Jan-20,1,0.75
29-Jan-20,1,0.75
30-Jan-20,1,0.75
31-Jan-20,1,0.75
3-Feb-20,2,0.75
4-Feb-20,2,0.75
5-Feb-20,2,0.75
6-Feb-20,2,0.75
7-Feb-20,2,0.75
10-Feb-20,2,0.75
11-Feb-20,2,0.75
12-Feb-20,2,0.75
13-Feb-20,2,0.75
14-Feb-20,2,0.75
17-Feb-20,2,0.75
18-Feb-20,2,0.75
19-Feb-20,2,0.75
20-Feb-20,2,0.75
21-Feb-20,2,0.75
24-Feb-20,2,0.75
25-Feb-20,2,0.75
26-Feb-20,2,0.75
27-Feb-20,2,0.75
28-Feb-20,2,0.75
2-Mar-20,3,0.75
3-Mar-20,3,0.75
4-Mar-20,3,0.5
5-Mar-20,3,0.5
6-Mar-20,3,0.5
9-Mar-20,3,0.5
10-Mar-20,3,0.5
11-Mar-20,3,0.5
12-Mar-20,3,0.5
13-Mar-20,3,0.5
16-Mar-20,3,0.5
17-Mar-20,3,0.5
18-Mar-20,3,0.5
19-Mar-20,3,0.5
20-Mar-20,3,0.25
23-Mar-20,3,0.25
24-Mar-20,3,0.25
25-Mar-20,3,0.25
26-Mar-20,3,0.25
27-Mar-20,3,0.25
30-Mar-20,3,0.25
31-Mar-20,3,0.25
1-Apr-20,4,0.25
2-Apr-20,4,0.25
3-Apr-20,4,0.25
6-Apr-20,4,0.25
7-Apr-20,4,0.25
8-Apr-20,4,0.25
9-Apr-20,4,0.25
14-Apr-20,4,0.25
15-Apr-20,4,0.25
16-Apr-20,4,0.25
17-Apr-20,4,0.25
20-Apr-20,4,0.25
21-Apr-20,4,0.25
22-Apr-20,4,0.25
23-Apr-20,4,0.25
24-Apr-20,4,0.25
27-Apr-20,4,0.25
28-Apr-20,4,0.25
29-Apr-20,4,0.25
30-Apr-20,4,0.25
1-May-20,5,0.25
4-May-20,5,0.25
5-May-20,5,0.25
6-May-20,5,0.25
7-May-20,5,0.25
8-May-20,5,0.25
11-May-20,5,0.25
12-May-20,5,0.25
13-May-20,5,0.25
14-May-20,5,0.25
15-May-20,5,0.25
18-May-20,5,0.25
19-May-20,5,0.25
20-May-20,5,0.25
21-May-20,5,0.25
22-May-20,5,0.25
25-May-20,5,0.25
26-May-20,5,0.25
27-May-20,5,0.25
28-May-20,5,0.25
29-May-20,5,0.25
1-Jun-20,6,0.25
2-Jun-20,6,0.25
3-Jun-20,6,0.25
4-Jun-20,6,0.25
5-Jun-20,6,0.25
9-Jun-20,6,0.25
10-Jun-20,6,0.25
11-Jun-20,6,0.25
12-Jun-20,6,0.25
15-Jun-20,6,0.25
16-Jun-20,6,0.25
17-Jun-20,6,0.25
18-Jun-20,6,0.25
19-Jun-20,6,0.25
22-Jun-20,6,0.25
23-Jun-20,6,0.25
24-Jun-20,6,0.25
25-Jun-20,6,0.25
26-Jun-20,6,0.25
29-Jun-20,6,0.25
30-Jun-20,6,0.25
1-Jul-20,7,0.25
2-Jul-20,7,0.25
3-Jul-20,7,0.25
6-Jul-20,7,0.25
7-Jul-20,7,0.25
8-Jul-20,7,0.25
9-Jul-20,7,0.25
10-Jul-20,7,0.25
13-Jul-20,7,0.25
14-Jul-20,7,0.25
15-Jul-20,7,0.25
16-Jul-20,7,0.25
17-Jul-20,7,0.25
20-Jul-20,7,0.25
21-Jul-20,7,0.25
22-Jul-20,7,0.25
23-Jul-20,7,0.25
24-Jul-20,7,0.25
27-Jul-20,7,0.25
28-Jul-20,7,0.25
29-Jul-20,7,0.25
30-Jul-20,7,0.25
31-Jul-20,7,0.25
3-Aug-20,8,0.25
4-Aug-20,8,0.25
5-Aug-20,8,0.25
6-Aug-20,8,0.25
7-Aug-20,8,0.25
10-Aug-20,8,0.25
11-Aug-20,8,0.25
